num_of_features, hidden_layer_size, momentum, mean_score, std_score
1,               20,                0.0,      0.28968662, 0.044378001
1,               20,                0.9,      0.28215127, 0.033158404
1,               30,                0.0,      0.26792658, 0.039378197
1,               30,                0.9,      0.27792905, 0.027649778
1,               40,                0.0,      0.30569598, 0.037368362
1,               40,                0.9,      0.27770682, 0.057577299
2,               20,                0.0,      0.44993348, 0.048532622
2,               20,                0.9,      0.44572998, 0.016910931
2,               30,                0.0,      0.46393397, 0.017633454
2,               30,                0.9,      0.46392658, 0.014333948
2,               40,                0.0,      0.46926928, 0.016169435
2,               40,                0.9,      0.46527421, 0.018400073
3,               20,                0.0,      0.54918798, 0.031341768
3,               20,                0.9,      0.49221335, 0.14660463
3,               30,                0.0,      0.5538305, 0.0098587539
3,               30,                0.9,      0.56161419, 0.016785882
3,               40,                0.0,      0.56139098, 0.01475264
3,               40,                0.9,      0.56804237, 0.0093600553
4,               20,                0.0,      0.5735797, 0.017362893
4,               20,                0.9,      0.58625868, 0.025206893
4,               30,                0.0,      0.58357822, 0.028750851
4,               30,                0.9,      0.59135698, 0.014644496
4,               40,                0.0,      0.59113624, 0.018574013
4,               40,                0.9,      0.59978862, 0.015001902
5,               20,                0.0,      0.58935551, 0.025042186
5,               20,                0.9,      0.55964573, 0.10234203
5,               30,                0.0,      0.6008884, 0.010652035
5,               30,                0.9,      0.60112639, 0.017006118
5,               40,                0.0,      0.60976842, 0.013104292
5,               40,                0.9,      0.61177384, 0.014987874
6,               20,                0.0,      0.60845134, 0.021959611
6,               20,                0.9,      0.53924119, 0.15874675
6,               30,                0.0,      0.62643213, 0.020154884
6,               30,                0.9,      0.62042572, 0.019768432
6,               40,                0.0,      0.62598078, 0.01903725
6,               40,                0.9,      0.62353683, 0.022851721
7,               20,                0.0,      0.61819611, 0.014158895
7,               20,                0.9,      0.6106642, 0.020753978
7,               30,                0.0,      0.63575117, 0.014778727
7,               30,                0.9,      0.62707859, 0.011815711
7,               40,                0.0,      0.6432949, 0.020929418
7,               40,                0.9,      0.63862774, 0.013594355
8,               20,                0.0,      0.62133038, 0.038727598
8,               20,                0.9,      0.64462725, 0.028179008
8,               30,                0.0,      0.65817837, 0.023397288
8,               30,                0.9,      0.64794826, 0.012710853
8,               40,                0.0,      0.65993052, 0.017705341
8,               40,                0.9,      0.65993594, 0.012432531
9,               20,                0.0,      0.65860951, 0.027732824
9,               20,                0.9,      0.64350136, 0.019662885
9,               30,                0.0,      0.65328406, 0.022843117
9,               30,                0.9,      0.65660557, 0.012618731
9,               40,                0.0,      0.669932, 0.020079096
9,               40,                0.9,      0.66658783, 0.028471747
10,               20,                0.0,      0.64439419, 0.026915776
10,               20,                0.9,      0.63684848, 0.032511927
10,               30,                0.0,      0.66104558, 0.015274586
10,               30,                0.9,      0.65572456, 0.024361428
10,               40,                0.0,      0.67059079, 0.014636837
10,               40,                0.9,      0.66770288, 0.017849968
11,               20,                0.0,      0.63064006, 0.028868467
11,               20,                0.9,      0.65170929, 0.029969661
11,               30,                0.0,      0.65817788, 0.026493681
11,               30,                0.9,      0.6461833, 0.035472539
11,               40,                0.0,      0.67014585, 0.016421453
11,               40,                0.9,      0.68103474, 0.023651637
12,               20,                0.0,      0.63708007, 0.040550874
12,               20,                0.9,      0.62798768, 0.030885815
12,               30,                0.0,      0.67235083, 0.020000212
12,               30,                0.9,      0.66637546, 0.032434318
12,               40,                0.0,      0.67435871, 0.017736718
12,               40,                0.9,      0.69123971, 0.019334457
13,               20,                0.0,      0.65062823, 0.032854491
13,               20,                0.9,      0.64018034, 0.029976016
13,               30,                0.0,      0.67748559, 0.030380676
13,               30,                0.9,      0.66393003, 0.028686627
13,               40,                0.0,      0.69192215, 0.024868393
13,               40,                0.9,      0.68946539, 0.018610381
14,               20,                0.0,      0.64951466, 0.034682459
14,               20,                0.9,      0.64594284, 0.034285389
14,               30,                0.0,      0.65927322, 0.02932121
14,               30,                0.9,      0.61837251, 0.18094918
14,               40,                0.0,      0.68035772, 0.013973049
14,               40,                0.9,      0.68214388, 0.019839429
15,               20,                0.0,      0.65660212, 0.03191459
15,               20,                0.9,      0.64973442, 0.018582526
15,               30,                0.0,      0.68035132, 0.018315931
15,               30,                0.9,      0.68347524, 0.021134266
15,               40,                0.0,      0.70810791, 0.01054052
15,               40,                0.9,      0.70055629, 0.017368292
16,               20,                0.0,      0.65305593, 0.011285537
16,               20,                0.9,      0.65394334, 0.041302725
16,               30,                0.0,      0.66947179, 0.023479062
16,               30,                0.9,      0.66591771, 0.014726686
16,               40,                0.0,      0.69100271, 0.016376805
16,               40,                0.9,      0.68080217, 0.025510513
17,               20,                0.0,      0.63284306, 0.037301459
17,               20,                0.9,      0.62199261, 0.066054016
17,               30,                0.0,      0.67923774, 0.023247202
17,               30,                0.9,      0.69432422, 0.036863069
17,               40,                0.0,      0.69190096, 0.015904467
17,               40,                0.9,      0.69077063, 0.023965069
18,               20,                0.0,      0.65414979, 0.03788202
18,               20,                0.9,      0.63862528, 0.049950402
18,               30,                0.0,      0.68965706, 0.031625097
18,               30,                0.9,      0.6732609, 0.043191134
18,               40,                0.0,      0.71477014, 0.011627113
18,               40,                0.9,      0.70521261, 0.022027756
19,               20,                0.0,      0.67190047, 0.032993523
19,               20,                0.9,      0.65460754, 0.031822817
19,               30,                0.0,      0.68636364, 0.030054361
19,               30,                0.9,      0.68235625, 0.017538147
19,               40,                0.0,      0.72762503, 0.018191308
19,               40,                0.9,      0.72252279, 0.021396206
